  Mid_Edge_x   Mid_Edge_y   Num u      Num_u - Exact_u    Num v      Num_v - Exact_v
      0.3810       0.7190       0.0683      -0.0002      -0.1497       0.0000
      0.3359       0.8242       0.0541      -0.0001      -0.1680      -0.0003
      0.3730       0.7881       0.0662      -0.0002      -0.1706       0.0000
      0.3269       0.8942       0.0503      -0.0001      -0.1852      -0.0003
      0.3639       0.8582       0.0624      -0.0002      -0.1904       0.0000
      0.3174       0.9647       0.0455      -0.0001      -0.2006      -0.0003
      0.3540       0.9289       0.0574      -0.0002      -0.2086       0.0000
      0.3076       1.0353       0.0402      -0.0001      -0.2138      -0.0003
      0.3438       1.0000       0.0515      -0.0002      -0.2246       0.0000
      0.2981       1.1058       0.0345      -0.0000      -0.2246      -0.0003
      0.3335       1.0711       0.0449      -0.0002      -0.2382       0.0001
      0.2891       1.1758       0.0289      -0.0000      -0.2331      -0.0003
      0.3236       1.1418       0.0381      -0.0001      -0.2492       0.0001
      0.2810       1.2450       0.0233       0.0000      -0.2395      -0.0003
      0.3145       1.2119       0.0314      -0.0001      -0.2578       0.0001
      0.2741       1.3132       0.0181       0.0000      -0.2440      -0.0003
      0.3065       1.2810       0.0248      -0.0001      -0.2641       0.0001
      0.2687       1.3802       0.0132       0.0000      -0.2471      -0.0003
      0.3000       1.3490       0.0187      -0.0001      -0.2685       0.0001
      0.2650       1.4458       0.0085       0.0001      -0.2491      -0.0003
      0.2951       1.4155       0.0129      -0.0000      -0.2715       0.0001
      0.2631       1.5099       0.0042       0.0001      -0.2505      -0.0003
      0.2921       1.4805       0.0074      -0.0000      -0.2734       0.0001
      0.2631       1.5724      -0.0000       0.0001      -0.2514      -0.0003
      0.2911       1.5439       0.0022       0.0000      -0.2746       0.0001
      0.2650       1.6333      -0.0042       0.0001      -0.2520      -0.0003
      0.2921       1.6055      -0.0028       0.0000      -0.2753       0.0001
      0.2687       1.6927      -0.0084       0.0001      -0.2525      -0.0003
      0.2951       1.6655      -0.0079       0.0001      -0.2757       0.0001
      0.2741       1.7507      -0.0128       0.0001      -0.2525      -0.0003
      0.3000       1.7240      -0.0131       0.0001      -0.2756       0.0001
      0.2810       1.8075      -0.0174       0.0001      -0.2521      -0.0003
      0.3065       1.7810      -0.0185       0.0001      -0.2750       0.0001
      0.2891       1.8633      -0.0223       0.0001      -0.2508      -0.0003
      0.3145       1.8369      -0.0242       0.0001      -0.2737       0.0001
      0.2981       1.9183      -0.0276       0.0000      -0.2484      -0.0002
      0.3236       1.8918      -0.0302       0.0001      -0.2713       0.0001
      0.3076       1.9728      -0.0331      -0.0001      -0.2446      -0.0002
      0.3335       1.9461      -0.0365       0.0000      -0.2676       0.0002
      0.3438       2.0000      -0.0431      -0.0001      -0.2622       0.0002
      0.3804       0.0267       0.0038       0.0001      -0.0003      -0.0001
      0.4063       0.0000       0.0000       0.0000      -0.0000       0.0000
      0.3910       0.0804       0.0117       0.0001      -0.0024      -0.0001
      0.4174       0.0532       0.0087      -0.0001      -0.0011      -0.0000
      0.4010       0.1346       0.0203       0.0000      -0.0066      -0.0001
      0.4281       0.1068       0.0182      -0.0001      -0.0043      -0.0000
      0.4100       0.1896       0.0294       0.0000      -0.0131      -0.0001
      0.4380       0.1610       0.0283      -0.0001      -0.0099      -0.0000
      0.4176       0.2457       0.0388      -0.0000      -0.0221      -0.0002
      0.4467       0.2163       0.0389      -0.0002      -0.0180      -0.0000
      0.4237       0.3032       0.0481      -0.0000      -0.0336      -0.0002
      0.4538       0.2729       0.0497      -0.0002      -0.0287      -0.0000
      0.4278       0.3623       0.0570      -0.0000      -0.0476      -0.0002
      0.4590       0.3310       0.0601      -0.0002      -0.0420      -0.0000
      0.4299       0.4230       0.0650      -0.0001      -0.0641      -0.0002
